group,caseId,sourceCase,property,m1,m2,structureGroup,partition,preprocess,policy,valid,verdict,status,match,tMeanMs,q,sigma,r,error
"AUTOSAR-1 Channel","Experiment1_single_1","autosar1.singleM1.Experiment1_single_1","A[] (buffer1.count >=0)","buffer1","runnable1+runnable2+runnable3+runnable4+buffer2+schedule2+schedule1","M1-single/M2-multi","original split","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",6474,4,2,3,
"AUTOSAR-1 Channel","Experiment1_single_2","autosar1.singleM1.Experiment1_single_2","A[] buffer1.count <= buffer1.len","buffer1","runnable1+runnable2+runnable3+runnable4+buffer2+schedule2+schedule1","M1-single/M2-multi","original split","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",379,1,2,0,
"AUTOSAR-1 Channel","Experiment1_single_3","autosar1.singleM1.Experiment1_single_3","A[] (buffer2.count >=0)","buffer2","runnable1+runnable2+runnable3+runnable4+buffer1+schedule2+schedule1","M1-single/M2-multi","original split","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",3049,3,2,2,
"AUTOSAR-1 Channel","Experiment1_single_4","autosar1.singleM1.Experiment1_single_4","A[] buffer2.count <= buffer2.len","buffer2","runnable1+runnable2+runnable3+runnable4+buffer1+schedule2+schedule1","M1-single/M2-multi","original split","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",400,1,2,0,
"AUTOSAR-1 Channel","Experiment1_1","autosar1.mutileM1.Experiment1_1","A[] (buffer1.count >=0)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",5847,3,2,2,
"AUTOSAR-1 Channel","Experiment1_2","autosar1.mutileM1.Experiment1_2","A[] (buffer1.count <= buffer1.len)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",4724,2,2,1,
"AUTOSAR-1 Channel","Experiment1_3","autosar1.mutileM1.Experiment1_3","A[] (buffer2.count >=0)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",4728,2,2,1,
"AUTOSAR-1 Channel","Experiment1_4","autosar1.mutileM1.Experiment1_4","A[] (buffer2.count <= buffer2.len)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",4534,2,2,1,
"AUTOSAR-1 Channel","Experiment1_5","autosar1.mutileM1.Experiment1_5","A[] not (runnable1.s2 and runnable2.s2)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule2","schedule1","M1-multi/M2-single","original split","NONE","DYNAMIC_GAMMA","No","UNSAFE","PASS","YES",5303,4,2,5,
"AUTOSAR-1 Channel","Experiment1_6","autosar1.mutileM1.Experiment1_6","A[] not (runnable3.s2 and runnable4.s2)","runnable1+runnable2+runnable3+runnable4+buffer1+buffer2+schedule1","schedule2","M1-multi/M2-single","original split","NONE","DYNAMIC_GAMMA","Yes","SAFE","PASS","YES",12575,4,2,5,
