suiteId,caseId,family,suitePurpose,topologyKind,policy,verdict,status,match,tMeanMs,q,sigma,r,error
"P1_boundary_sched_buffer","P1_00","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",412,1,2,0,
"P1_boundary_sched_buffer","P1_01","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",338,1,2,0,
"P1_boundary_sched_buffer","P1_02","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",438,1,2,0,
"P1_boundary_sched_buffer","P1_03","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",317,1,2,0,
"P1_boundary_sched_buffer","P1_04","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",398,1,2,0,
"P1_boundary_sched_buffer","P1_05","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",360,1,2,0,
"P1_boundary_sched_buffer","P1_06","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",318,1,2,0,
"P1_boundary_sched_buffer","P1_07","P1","PERFORMANCE","BOUNDARY_SCHED_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",378,1,2,0,
"P2_boundary_pipeline_buffer","P2_00","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",351,1,2,0,
"P2_boundary_pipeline_buffer","P2_01","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",394,1,2,0,
"P2_boundary_pipeline_buffer","P2_02","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",347,1,2,0,
"P2_boundary_pipeline_buffer","P2_03","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",437,1,2,0,
"P2_boundary_pipeline_buffer","P2_04","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",318,1,2,0,
"P2_boundary_pipeline_buffer","P2_05","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",406,1,2,0,
"P2_boundary_pipeline_buffer","P2_06","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",338,1,2,0,
"P2_boundary_pipeline_buffer","P2_07","P2","PERFORMANCE","BOUNDARY_PIPELINE_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",343,1,2,0,
"P3_boundary_split_pipeline_buffer","P3_00","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",346,1,2,0,
"P3_boundary_split_pipeline_buffer","P3_01","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",352,1,2,0,
"P3_boundary_split_pipeline_buffer","P3_02","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",323,1,2,0,
"P3_boundary_split_pipeline_buffer","P3_03","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",399,1,2,0,
"P3_boundary_split_pipeline_buffer","P3_04","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",306,1,2,0,
"P3_boundary_split_pipeline_buffer","P3_05","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",307,1,2,0,
"P3_boundary_split_pipeline_buffer","P3_06","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",338,1,2,0,
"P3_boundary_split_pipeline_buffer","P3_07","P3","PERFORMANCE","BOUNDARY_SPLIT_PIPELINE_BUFFER","DYNAMIC_GAMMA","SAFE","PASS","NO",370,1,2,0,
